varying,value_deg,alpha_deg,beta_deg,flap_deg,aileron_deg,elevator_deg,rudder_deg,CL_avl,CD_avl,CY_avl,Cl_avl,Cm_avl,Cn_avl,CL_simple,CD_simple,CY_simple,Cl_simple,Cm_simple,Cn_simple
beta,-10,4.0,-10,0.0,0.0,0.0,0.0,0.45416,0.00748,0.04058,0.01076,-0.18248,-0.00963,0.700327,0.017001,0.057099,0.008366,-0.19242,-0.015397
beta,-8,4.0,-8,0.0,0.0,0.0,0.0,0.45924,0.00899,0.0327,0.00867,-0.18406,-0.00776,0.702269,0.016489,0.045851,0.006708,-0.191404,-0.012411
beta,-6,4.0,-6,0.0,0.0,0.0,0.0,0.46321,0.01017,0.02467,0.00654,-0.18529,-0.00585,0.703783,0.016089,0.034488,0.00504,-0.190607,-0.009363
beta,-4,4.0,-4,0.0,0.0,0.0,0.0,0.46606,0.01102,0.01651,0.00438,-0.18618,-0.00392,0.704866,0.015803,0.023039,0.003365,-0.190034,-0.006268
beta,-2,4.0,-2,0.0,0.0,0.0,0.0,0.46778,0.01153,0.00828,0.00219,-0.18671,-0.00196,0.705517,0.015631,0.011534,0.001684,-0.189689,-0.003142
beta,0,4.0,0,0.0,0.0,0.0,0.0,0.46835,0.0117,-0.0,0.0,-0.18689,0.0,0.705734,0.015573,0.0,0.0,-0.189574,0.0
beta,2,4.0,2,0.0,0.0,0.0,0.0,0.46778,0.01153,-0.00828,-0.00219,-0.18671,0.00196,0.705517,0.015631,-0.011534,-0.001684,-0.189689,0.003142
beta,4,4.0,4,0.0,0.0,0.0,0.0,0.46606,0.01102,-0.01651,-0.00438,-0.18618,0.00392,0.704866,0.015803,-0.023039,-0.003365,-0.190034,0.006268
beta,6,4.0,6,0.0,0.0,0.0,0.0,0.46321,0.01017,-0.02467,-0.00654,-0.18529,0.00585,0.703783,0.016089,-0.034488,-0.00504,-0.190607,0.009363
beta,8,4.0,8,0.0,0.0,0.0,0.0,0.45924,0.00899,-0.0327,-0.00867,-0.18406,0.00776,0.702269,0.016489,-0.045851,-0.006708,-0.191404,0.012411
beta,10,4.0,10,0.0,0.0,0.0,0.0,0.45416,0.00748,-0.04058,-0.01076,-0.18248,0.00963,0.700327,0.017001,-0.057099,-0.008366,-0.19242,0.015397
