key,name,tilt_deg,vinf_mps,family,score,classification,front_collective_rpm,rear_collective_rpm,delta_f_deg,delta_a_deg,delta_e_deg,delta_r_deg,theta_deg,u_mps,w_mps,alpha_deg,linearization_available,linearization_latest_file
tilt_0__vinf_0__family_hover_zero_surface__source_transition_trim_map_low_speed_scored__seed_prop_first_pass_tilt_0_v_0,LowSpeedScored_Tilt0_V0,0,0,hover_zero_surface,3.088685665342e-14,exact_trim,1865.74057364479,1756.39693964944,0,0,0,0,0,0,0,0,1,
tilt_0__vinf_0__family_named_case__source_transition_trim_map__seed_none,Hover,0,0,named_case,NaN,exact_trim,1865.74057374575,1756.39693973095,0,NaN,0,NaN,0,0,0,0,1,
tilt_0__vinf_2p5__family_front_rear_free_flap_elevator__source_transition_trim_map_low_speed_scored__seed_prop_first_pass_tilt_0_v_2p5,LowSpeedScored_Tilt0_V2p5,0,2.5,front_rear_free_flap_elevator,1.72274782594833e-12,exact_trim,1864.80846117335,1755.28185386428,0.00632682015212877,0,-0.000124963566467619,0,-0.00596856095070431,2.49999998643549,-0.000260427600018637,-0.00596856095071036,1,
tilt_0__vinf_2p5__family_hover_zero_surface__source_transition_trim_map__seed_none,HoverLike_tilt_0__V_2p5,0,2.5,hover_zero_surface,NaN,exact_trim,1864.80882476004,1755.28204012601,0,NaN,0,NaN,-0.00596786163721421,2.49999998643867,-0.000260397086712108,-0.00596786163723332,1,
tilt_0__vinf_5__family_front_rear_free_flap_elevator__source_transition_trim_map_low_speed_scored__seed_hover_default,LowSpeedScored_Tilt0_V5,0,5,front_rear_free_flap_elevator,5.35902206348684e-11,exact_trim,1861.95502919874,1751.87619234318,0.191612763217017,0,0.0247047941252699,0,-0.0242188708547331,4.99999955331382,-0.00211349512471399,-0.0242188708547331,1,
tilt_2p5__vinf_2p5__family_front_rear_free_flap_elevator__source_transition_trim_rearon_connector_forever__seed_parent_history_2,ReferenceLineScored_Tilt2p5_V2p5,2.5,2.5,front_rear_free_flap_elevator,1.06706433701509e-05,exact_trim,1867.625704163,1751.27625448033,2.16203101494961,0,12.1787026216949,0,1.32102719923635,2.49933553980001,0.057635574859447,1.32102711376879,1,
tilt_5__vinf_2p5__family_front_rear_free_flap_elevator__source_transition_trim_map_low_speed_scored__seed_two_pass_tilt_5_v_2p5,LowSpeedScored_Tilt5_V2p5,5,2.5,front_rear_free_flap_elevator,1.40781910772507e-12,exact_trim,1870.54203664986,1748.38704601626,18.1250505468241,0,-17.2081015802828,0,2.64137517591205,2.49734387802757,0.115210914753453,2.64137517591206,1,
tilt_5__vinf_5__family_front_rear_free_flap_elevator__source_transition_trim_map_low_speed_scored__seed_history_2,LowSpeedScored_Tilt5_V5,5,5,front_rear_free_flap_elevator,2.05274117031603e-13,exact_trim,1864.30441923809,1741.69678222097,9.92447490095735,0,-11.5520983398119,0,2.61152719749042,4.99480711552482,0.227819838255131,2.61152719749042,1,
tilt_5__vinf_7p5__family_front_rear_free_flap_elevator__source_transition_trim_map_low_speed_scored__seed_history_1,LowSpeedScored_Tilt5_V7p5,5,7.5,front_rear_free_flap_elevator,1.62007807103048e-08,exact_trim,1854.32059003708,1733.65477646174,8.14640937022099,0,-13.2913788111632,0,2.54897901755834,7.49257926552037,0.333550521160933,2.54897901756039,1,
tilt_7p5__vinf_2p5__family_front_rear_free_flap_elevator__source_transition_trim_rearon_connector_forever__seed_parent_history_1,ReferenceLineScored_Tilt7p5_V2p5,7.5,2.5,front_rear_free_flap_elevator,7.93121606981503e-10,exact_trim,1876.58810409725,1744.78771452264,23.0260908668948,0,-3.58379961726197,0,3.96916996786306,2.49400360199088,0.173049222129418,3.96916996786318,1,
